compound_id,taste_profile_id,intensity
442462,sweet,0.7
247573,sweet,0.7
519158,umami,0.7
62385,sour,0.7
7957,sour,0.7
7957,umami,0.7
24516,sweet,0.7
12729,sweet,0.7
17739,sweet,0.7
61586,sweet,0.7
15406,sweet,0.7
15406,bitter,0.7
8419,sweet,0.7
5362623,sweet,0.7
33637,sweet,0.7
107217,sweet,0.7
107217,sour,0.7
6985,sweet,0.7
102550,sweet,0.7
5275520,sour,0.7
6428929,sweet,0.7
25611,sweet,0.7
529496,sweet,0.7
10680,bitter,0.7
60979,sweet,0.7
5352428,sweet,0.7
67521,umami,0.7
79828,umami,0.7
521300,sweet,0.7
521300,bitter,0.7
141850,umami,0.7
521873,bitter,0.7
31234,sweet,0.7
61151,sweet,0.7
162293,umami,0.7
14109402,bitter,0.7
24115,sweet,0.7
61204,sweet,0.7
11363,sweet,0.7
5144,sweet,0.7
8438,sweet,0.7
8438,bitter,0.7
5352461,sweet,0.7
5352463,sweet,0.7
5365049,sweet,0.7
9016,sweet,0.7
9016,bitter,0.7
5541,sweet,0.7
5541,bitter,0.7
6428573,sweet,0.7
61184,sweet,0.7
8698,sweet,0.7
6433750,sweet,0.7
5634,sweet,0.7
5363817,sweet,0.7
6428458,sweet,0.7
5281617,bitter,0.7
641294,sweet,0.7
641298,sweet,0.7
10975,sour,0.7
6431015,sweet,0.7
7643,sweet,0.7
1549045,bitter,0.7
261491,bitter,0.7
637563,sweet,0.7
107152,sweet,0.7
7478,sweet,0.7
5352437,sour,0.7
442343,sweet,0.7
5364789,sweet,0.7
5366155,sweet,0.7
10748,sweet,0.7
125468,sweet,0.7
5367807,sweet,0.7
27892,sweet,0.7
27892,umami,0.7
7792,sour,0.7
7792,bitter,0.7
176,sour,0.7
5365982,sweet,0.7
5365982,bitter,0.7
1268142,sweet,0.7
1268142,sour,0.7
8405,sweet,0.7
11335,sweet,0.7
11335,bitter,0.7
7267,sweet,0.7
7702,sweet,0.7
240925,sweet,0.7
7147,sweet,0.7
6354,sweet,0.7
61200,bitter,0.7
61166,sweet,0.7
61166,bitter,0.7
14475,umami,0.7
876,sour,0.7
219794,sweet,0.7
14489,sweet,0.7
17000,sweet,0.7
20745,sweet,0.7
61435,sweet,0.7
5362830,bitter,0.7
578423,sweet,0.7
578423,sour,0.7
10873,sweet,0.7
31231,sweet,0.7
14525,bitter,0.7
440917,sweet,0.7
440917,sour,0.7
5367682,sweet,0.7
5352481,sweet,0.7
6434541,sweet,0.7
5353545,bitter,0.7
529253,sweet,0.7
529253,umami,0.7
31226,sweet,0.7
31226,bitter,0.7
5353547,bitter,0.7
544628,sweet,0.7
107689,sour,0.7
6436627,sweet,0.7
6436627,sour,0.7
442428,bitter,0.7
20797,sour,0.7
5354882,sweet,0.7
142266,sweet,0.7
5364919,sweet,0.7
235284,bitter,0.7
326240,bitter,0.7
288227,sweet,0.7
288227,sour,0.7
5281534,sour,0.7
86753,sweet,0.7
72344,bitter,0.7
62328,sour,0.7
62328,bitter,0.7
61781,sweet,0.7
6430738,sour,0.7
5352162,sweet,0.7
5282109,bitter,0.7
11176,sweet,0.7
11176,bitter,0.7
7707,sweet,0.7
61202,sweet,0.7
16832,sweet,0.7
5373729,sweet,0.7
21648,sweet,0.7
92794,bitter,0.7
7360,sweet,0.7
12344,sweet,0.7
12344,umami,0.7
85730,sweet,0.7
31211,sweet,0.7
7657,sweet,0.7
7657,umami,0.7
444972,sour,0.7
5362792,sweet,0.7
60998,sweet,0.7
49,sweet,0.7
228548,bitter,0.7
5429,bitter,0.7
61155,sweet,0.7
7531,bitter,0.7
964,sour,0.7
60995,bitter,0.7
60995,umami,0.7
61700,bitter,0.7
19188,sweet,0.7
19188,sour,0.7
62341,sweet,0.7
62341,bitter,0.7
5363231,sweet,0.7
107166,sweet,0.7
5362572,umami,0.7
21828,umami,0.7
75427,sour,0.7
62913,sweet,0.7
61290,sweet,0.7
7136,sweet,0.7
66751,sweet,0.7
62539,sweet,0.7
61661,bitter,0.7
61199,sweet,0.7
3017596,sweet,0.7
61527,sweet,0.7
61658,sweet,0.7
8868,sweet,0.7
61261,umami,0.7
8712,umami,0.7
26204,sweet,0.7
23642,sweet,0.7
23642,umami,0.7
520682,sweet,0.7
7509,bitter,0.7
61670,bitter,0.7
61657,bitter,0.7
2519,bitter,0.7
526487,sweet,0.7
61634,sweet,0.7
20534,sweet,0.7
528698,sweet,0.7
61656,umami,0.7
61660,bitter,0.7
61633,sweet,0.7
61659,bitter,0.7
61659,umami,0.7
61024,sweet,0.7
228769,sweet,0.7
31404,sweet,0.7
62901,umami,0.7
5362696,sour,0.7
5282724,sweet,0.7
62375,sweet,0.7
43263,sweet,0.7
229387,sweet,0.7
61096,sweet,0.7
61096,umami,0.7
31219,sweet,0.7
61334,sweet,0.7
522214,sweet,0.7
522676,sweet,0.7
7651,sweet,0.7
5463904,sweet,0.7
6874,bitter,0.7
61450,sweet,0.7
18686,sweet,0.7
18686,umami,0.7
5367785,sweet,0.7
61093,sweet,0.7
61092,bitter,0.7
88290,umami,0.7
145659,bitter,0.7
5365991,sweet,0.7
61031,sour,0.7
62321,sweet,0.7
243783,sweet,0.7
58,sweet,0.7
529481,sweet,0.7
24834,sweet,0.7
226486,sweet,0.7
226486,umami,0.7
61955,sweet,0.7
62105,umami,0.7
8187,sour,0.7
5354833,sour,0.7
5364631,umami,0.7
62908,sweet,0.7
6435861,sweet,0.7
519764,sweet,0.7
8432,sweet,0.7
520148,sweet,0.7
44229138,sweet,0.7
354616,bitter,0.7
3085213,sweet,0.7
7738,sweet,0.7
125,sweet,0.7
125,bitter,0.7
20748,sweet,0.7
5365027,sweet,0.7
589365,sweet,0.7
589365,umami,0.7
521332,sweet,0.7
595928,sweet,0.7
595928,bitter,0.7
78484,sweet,0.7
7958,sweet,0.7
61270,sweet,0.7
65289,sweet,0.7
537754,sweet,0.7
518810,sweet,0.7
15824502,sweet,0.7
442009,bitter,0.7
31408,sweet,0.7
31408,sour,0.7
14328,sweet,0.7
3648225,sweet,0.7
3648225,bitter,0.7
5281404,bitter,0.7
23367,sweet,0.7
61982,sweet,0.7
94579,sweet,0.7
84825,sweet,0.7
235414,sweet,0.7
5317309,bitter,0.7
238782,bitter,0.7
68346,sweet,0.7
5377381,bitter,0.7
5610,umami,0.7
61229,sweet,0.7
181128,bitter,0.7
99967,bitter,0.7
6428990,umami,0.7
21265,sweet,0.7
5281680,bitter,0.7
4453,sweet,0.7
5281697,bitter,0.7
3819217,bitter,0.7
250096,umami,0.7
5362583,sweet,0.7
639665,bitter,0.7
513197,bitter,0.7
5280462,sweet,0.7
6450832,sweet,0.7
