id,name,common_name,formula,odor_description,taste_profiles
23367,Benzyl Hexanoate,Benzyl Hexanoate,,apricot@gardenia@jasmin@fruity@green,sweet
61982,p-Mentha-8-thiol-3-one,p-Mentha-8-thiol-3-one,,peach@berry@sulfury@buchu@fruity@tropical@minty@green,sweet
94579,Isopulegol acetate,Isopulegol acetate,,mint@peppermint@sweet@woody@tropical@leaf,sweet
21116845,UNII-3QMX06VZ0C,UNII-3QMX06VZ0C,,,
84825,rosefuran,rosefuran,,mint@minty@caramel@green,sweet
235414,Oxacyclohexadecan-2-one,Oxacyclohexadecan-2-one,,powdery@musky@animal@musk@fruity@natural,sweet
643915,Angelic acid,Angelic acid,,spicy,
642376,Butylidenephthalide,Butylidenephthalide,,lovage@herbal@celery,
5373603,3-Propylidenephthalide,3-Propylidenephthalide,,,
5317309,Falcarindiol,Falcarindiol,,bitter,bitter
238782,"5,7-Dihydroxyflavanone","5,7-Dihydroxyflavanone",,bitter,bitter
68346,Artemisia ketone,Artemisia ketone,,mint@berry@herbal@honey@herb@green,sweet
11368078,"(E,E)-2,4-Decadienoic isobutylamide","(E,E)-2,4-Decadienoic isobutylamide",,herbal@spicy,
5986428,"2,4-Pentadienal","2,4-Pentadienal",,,
5377381,"5,7-Dihydroxyisoflavone","5,7-Dihydroxyisoflavone",,bitter,bitter
5368103,"1-Butene, 1-(methylthio)-, (E)-","1-Butene, 1-(methylthio)-, (E)-",,sulfurous,
6210220,2-Methyl-3-(2-furyl)propenal,2-Methyl-3-(2-furyl)propenal,,woody@herbal@spice@cinnamon,
5610,tyramine,tyramine,,mild@rubbery@meaty@dirty@cooked@phenolic,umami
61229,4-Formyl-2-methoxyphenyl acetate,4-Formyl-2-methoxyphenyl acetate,,powdery@vanilla@sweet@creamy@heliotropin,sweet
181128,Saupirin,Saupirin,,bitter,bitter
99967,Grosheimin,Grosheimin,,bitter,bitter
526853,"1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethanone","1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethanone",,nutty@roasted@cooked,
